code,level,name,parent
170,3,Sản xuất giấy và sản phẩm từ giấy,17
181,3,In ấn và dịch vụ liên quan đến in,18
182,3,Sao chép bản ghi các loại,18
191,3,Sản xuất than cốc,19
192,3,Sản xuất sản phẩm dầu mỏ tinh chế,19
201,3,"Sản xuất hoá chất cơ bản, phân bón và hợp chất ni tơ; sản xuất plastic và cao su tổng hợp dạng nguyên sinh",20
202,3,Sản xuất sản phẩm hoá chất khác,20
203,3,Sản xuất sợi nhân tạo,20
210,3,"Sản xuất thuốc, hoá dược và dược liệu",21
221,3,Sản xuất sản phẩm từ cao su,22
222,3,Sản xuất sản phẩm từ plastic,22
231,3,Sản xuất thủy tinh và sản phẩm từ thủy tinh,23
239,3,Sản xuất sản phẩm từ khoáng phi kim loại chưa được phân vào đâu,23
241,3,"Sản xuất sắt, thép, gang",24
242,3,Sản xuất kim loại quý và kim loại màu,24
243,3,Đúc kim loại,24
251,3,"Sản xuất các cấu kiện kim loại, thùng, bể chứa và nồi hơi",25
252,3,Sản xuất vũ khí và đạn dược,25
259,3,"Sản xuất sản phẩm khác bằng kim loại; các dịch vụ xử lý, gia công kim loại",25
261,3,Sản xuất linh kiện điện tử,26
262,3,Sản xuất máy vi tính và thiết bị ngoại vi của máy vi tính,26
263,3,Sản xuất thiết bị truyền thông,26
264,3,Sản xuất sản phẩm điện tử dân dụng,26
265,3,"Sản xuất thiết bị đo lường, kiểm tra, định hướng và điều khiển; sản xuất đồng hồ",26
266,3,"Sản xuất thiết bị bức xạ, thiết bị điện tử trong y học, điện liệu pháp",26
267,3,Sản xuất thiết bị và dụng cụ quang học,26
268,3,"Sản xuất băng, đĩa từ tính và quang học",26
271,3,"Sản xuất mô tơ, máy phát, biến thế điện, thiết bị phân phối và điều khiển điện",27
272,3,Sản xuất pin và ắc quy,27
273,3,Sản xuất dây và thiết bị dây dẫn,27
274,3,Sản xuất thiết bị điện chiếu sáng,27
275,3,Sản xuất đồ điện dân dụng,27
